,Order Quantity,Unit Cost,Unit Price,Cost,Revenue
146,5.0,45.0,120.0,225.0,468
147,2.0,45.0,120.0,90.0,187
148,8.0,45.0,120.0,360.0,806
149,8.0,45.0,120.0,360.0,806
150,7.0,45.0,120.0,315.0,722
151,8.0,45.0,120.0,360.0,826
152,5.0,45.0,120.0,225.0,516
153,7.0,45.0,120.0,315.0,722
154,7.0,45.0,120.0,315.0,823
155,6.0,45.0,120.0,270.0,706
156,1.0,45.0,120.0,45.0,108
157,1.0,45.0,120.0,45.0,108
158,10.0,45.0,120.0,450.0,1044
159,12.0,45.0,120.0,540.0,1253
160,4.0,45.0,120.0,180.0,418
161,6.0,45.0,120.0,270.0,626
162,2.0,45.0,120.0,90.0,238
163,1.0,45.0,120.0,45.0,119
164,6.0,45.0,120.0,270.0,619
165,7.0,45.0,120.0,315.0,722
166,9.0,45.0,120.0,405.0,1058
167,9.0,45.0,120.0,405.0,1058
168,25.0,45.0,120.0,1125.0,2940
169,22.0,45.0,120.0,990.0,2587
170,11.0,45.0,120.0,495.0,1294
171,11.0,45.0,120.0,495.0,1294
172,2.0,45.0,120.0,90.0,187
173,1.0,45.0,120.0,45.0,94
174,4.0,45.0,120.0,180.0,374
175,6.0,45.0,120.0,270.0,562
176,9.0,45.0,120.0,405.0,842
177,6.0,45.0,120.0,270.0,562
178,15.0,45.0,120.0,675.0,1548
179,15.0,45.0,120.0,675.0,1548
180,7.0,45.0,120.0,315.0,823
181,8.0,45.0,120.0,360.0,941
182,30.0,45.0,120.0,1350.0,3528
183,29.0,45.0,120.0,1305.0,3410
184,6.0,45.0,120.0,270.0,706
185,6.0,45.0,120.0,270.0,706
186,10.0,45.0,120.0,450.0,936
187,9.0,45.0,120.0,405.0,842
188,12.0,45.0,120.0,540.0,1411
189,9.0,45.0,120.0,405.0,1058
190,3.0,45.0,120.0,135.0,353
191,3.0,45.0,120.0,135.0,353
192,30.0,45.0,120.0,1350.0,2808
193,30.0,45.0,120.0,1350.0,2808
194,8.0,45.0,120.0,360.0,835
195,6.0,45.0,120.0,270.0,626
196,2.0,45.0,120.0,90.0,190
197,4.0,45.0,120.0,180.0,379
198,7.0,45.0,120.0,315.0,731
199,4.0,45.0,120.0,180.0,418
200,6.0,45.0,120.0,270.0,569
201,7.0,45.0,120.0,315.0,664
202,26.0,45.0,120.0,1170.0,2558
203,23.0,45.0,120.0,1035.0,2263
204,6.0,45.0,120.0,270.0,691
205,8.0,45.0,120.0,360.0,922
206,1.0,45.0,120.0,45.0,115
207,1.0,45.0,120.0,45.0,115
208,4.0,45.0,120.0,180.0,461
209,6.0,45.0,120.0,270.0,691
210,10.0,45.0,120.0,450.0,936
211,8.0,45.0,120.0,360.0,749
212,19.0,45.0,120.0,855.0,2257
213,17.0,45.0,120.0,765.0,2020
214,3.0,45.0,120.0,135.0,284
215,4.0,45.0,120.0,180.0,379
216,8.0,45.0,120.0,360.0,758
217,6.0,45.0,120.0,270.0,569
218,1.0,45.0,120.0,45.0,101
219,1.0,45.0,120.0,45.0,101
220,6.0,45.0,120.0,270.0,691
221,3.0,45.0,120.0,135.0,346
222,2.0,45.0,120.0,90.0,230
223,1.0,45.0,120.0,45.0,115
224,8.0,45.0,120.0,360.0,835
225,5.0,45.0,120.0,225.0,522
226,21.0,45.0,120.0,945.0,2066
227,22.0,45.0,120.0,990.0,2165
228,27.0,45.0,120.0,1215.0,3013
229,26.0,45.0,120.0,1170.0,2902
230,5.0,45.0,120.0,225.0,492
231,5.0,45.0,120.0,225.0,492
232,10.0,45.0,120.0,450.0,1176
233,10.0,45.0,120.0,450.0,1176
234,17.0,45.0,120.0,765.0,1999
235,19.0,45.0,120.0,855.0,2234
236,16.0,45.0,120.0,720.0,1670
237,17.0,45.0,120.0,765.0,1775
238,3.0,45.0,120.0,135.0,310
239,3.0,45.0,120.0,135.0,310
240,27.0,45.0,120.0,1215.0,2786
241,24.0,45.0,120.0,1080.0,2477
242,6.0,45.0,120.0,270.0,706
243,8.0,45.0,120.0,360.0,941
244,29.0,45.0,120.0,1305.0,3445
245,30.0,45.0,120.0,1350.0,3564
246,12.0,45.0,120.0,540.0,1253
247,13.0,45.0,120.0,585.0,1357
248,10.0,45.0,120.0,450.0,1188
249,7.0,45.0,120.0,315.0,832
250,2.0,45.0,120.0,90.0,238
251,1.0,45.0,120.0,45.0,119
252,3.0,45.0,120.0,135.0,353
253,5.0,45.0,120.0,225.0,588
254,5.0,45.0,120.0,225.0,558
255,2.0,45.0,120.0,90.0,223
256,2.0,45.0,120.0,90.0,230
257,2.0,45.0,120.0,90.0,230
258,10.0,45.0,120.0,450.0,1044
259,12.0,45.0,120.0,540.0,1253
260,10.0,45.0,120.0,450.0,1068
261,12.0,45.0,120.0,540.0,1282
262,1.0,45.0,120.0,45.0,98
263,2.0,45.0,120.0,90.0,197
264,8.0,45.0,120.0,360.0,941
265,9.0,45.0,120.0,405.0,1058
266,4.0,45.0,120.0,180.0,480
267,6.0,45.0,120.0,270.0,720
268,7.0,45.0,120.0,315.0,731
269,9.0,45.0,120.0,405.0,940
270,8.0,45.0,120.0,360.0,950
271,6.0,45.0,120.0,270.0,713
272,10.0,45.0,120.0,450.0,1188
273,12.0,45.0,120.0,540.0,1426
274,9.0,45.0,120.0,405.0,842
275,9.0,45.0,120.0,405.0,842
276,10.0,45.0,120.0,450.0,1044
277,9.0,45.0,120.0,405.0,940
278,4.0,45.0,120.0,180.0,418
279,3.0,45.0,120.0,135.0,313
280,3.0,45.0,120.0,135.0,313
281,3.0,45.0,120.0,135.0,313
282,17.0,45.0,120.0,765.0,1897
283,14.0,45.0,120.0,630.0,1562
284,9.0,45.0,120.0,405.0,907
285,9.0,45.0,120.0,405.0,907
286,10.0,45.0,120.0,450.0,984
287,8.0,45.0,120.0,360.0,787
288,17.0,45.0,120.0,765.0,1999
289,14.0,45.0,120.0,630.0,1646
290,10.0,45.0,120.0,450.0,1176
291,9.0,45.0,120.0,405.0,1058
292,5.0,45.0,120.0,225.0,588
293,6.0,45.0,120.0,270.0,706
294,6.0,45.0,120.0,270.0,706
295,3.0,45.0,120.0,135.0,353
296,7.0,45.0,120.0,315.0,823
297,7.0,45.0,120.0,315.0,823
298,4.0,45.0,120.0,180.0,374
299,4.0,45.0,120.0,180.0,374
300,6.0,45.0,120.0,270.0,713
301,6.0,45.0,120.0,270.0,713
302,9.0,45.0,120.0,405.0,1069
303,11.0,45.0,120.0,495.0,1307
304,8.0,45.0,120.0,360.0,950
305,5.0,45.0,120.0,225.0,594
306,1.0,45.0,120.0,45.0,119
307,2.0,45.0,120.0,90.0,238
308,5.0,45.0,120.0,225.0,594
309,2.0,45.0,120.0,90.0,238
310,7.0,45.0,120.0,315.0,655
311,6.0,45.0,120.0,270.0,562
312,7.0,45.0,120.0,315.0,722
313,7.0,45.0,120.0,315.0,722
314,3.0,45.0,120.0,135.0,356
315,1.0,45.0,120.0,45.0,119
316,7.0,45.0,120.0,315.0,706
317,6.0,45.0,120.0,270.0,605
318,6.0,45.0,120.0,270.0,619
319,5.0,45.0,120.0,225.0,516
320,8.0,45.0,120.0,360.0,893
321,10.0,45.0,120.0,450.0,1116
322,4.0,45.0,120.0,180.0,475
323,1.0,45.0,120.0,45.0,119
324,5.0,45.0,120.0,225.0,492
325,3.0,45.0,120.0,135.0,295
326,26.0,45.0,120.0,1170.0,2995
327,28.0,45.0,120.0,1260.0,3226
328,2.0,45.0,120.0,90.0,230
329,1.0,45.0,120.0,45.0,115
330,4.0,45.0,120.0,180.0,418
331,4.0,45.0,120.0,180.0,418
332,9.0,45.0,120.0,405.0,1037
333,6.0,45.0,120.0,270.0,691
334,7.0,45.0,120.0,315.0,722
335,6.0,45.0,120.0,270.0,619
336,11.0,45.0,120.0,495.0,1307
337,8.0,45.0,120.0,360.0,950
338,26.0,45.0,120.0,1170.0,3089
339,27.0,45.0,120.0,1215.0,3208
340,6.0,45.0,120.0,270.0,713
341,8.0,45.0,120.0,360.0,950
342,23.0,45.0,120.0,1035.0,2401
343,25.0,45.0,120.0,1125.0,2610
344,3.0,45.0,120.0,135.0,353
345,1.0,45.0,120.0,45.0,118
346,7.0,45.0,120.0,315.0,823
347,7.0,45.0,120.0,315.0,823
348,8.0,45.0,120.0,360.0,950
349,5.0,45.0,120.0,225.0,594
350,3.0,45.0,120.0,135.0,310
351,4.0,45.0,120.0,180.0,413
352,4.0,45.0,120.0,180.0,413
353,6.0,45.0,120.0,270.0,619
354,5.0,45.0,120.0,225.0,588
355,2.0,45.0,120.0,90.0,235
356,5.0,45.0,120.0,225.0,588
357,2.0,45.0,120.0,90.0,235
358,13.0,45.0,120.0,585.0,1529
359,10.0,45.0,120.0,450.0,1176
360,9.0,45.0,120.0,405.0,907
361,6.0,45.0,120.0,270.0,605
362,10.0,45.0,120.0,450.0,1032
363,7.0,45.0,120.0,315.0,722
364,6.0,45.0,120.0,270.0,713
365,5.0,45.0,120.0,225.0,594
366,5.0,45.0,120.0,225.0,468
367,7.0,45.0,120.0,315.0,655
368,7.0,45.0,120.0,315.0,664
369,4.0,45.0,120.0,180.0,379
370,9.0,45.0,120.0,405.0,907
371,8.0,45.0,120.0,360.0,806
372,10.0,45.0,120.0,450.0,1008
373,9.0,45.0,120.0,405.0,907
374,18.0,45.0,120.0,810.0,2117
375,15.0,45.0,120.0,675.0,1764
376,3.0,45.0,120.0,135.0,335
377,5.0,45.0,120.0,225.0,558
378,2.0,45.0,120.0,90.0,187
379,1.0,45.0,120.0,45.0,94
380,7.0,45.0,120.0,315.0,655
381,6.0,45.0,120.0,270.0,562
382,1.0,45.0,120.0,45.0,94
383,1.0,45.0,120.0,45.0,94
384,8.0,45.0,120.0,360.0,950
385,10.0,45.0,120.0,450.0,1188
386,3.0,45.0,120.0,135.0,346
387,1.0,45.0,120.0,45.0,115
388,2.0,45.0,120.0,90.0,223
389,2.0,45.0,120.0,90.0,223
390,1.0,45.0,120.0,45.0,98
391,2.0,45.0,120.0,90.0,197
392,12.0,45.0,120.0,540.0,1411
393,14.0,45.0,120.0,630.0,1646
394,5.0,45.0,120.0,225.0,594
395,7.0,45.0,120.0,315.0,832
396,2.0,45.0,120.0,90.0,238
397,1.0,45.0,120.0,45.0,119
398,4.0,45.0,120.0,180.0,403
399,2.0,45.0,120.0,90.0,202
400,4.0,45.0,120.0,180.0,374
401,5.0,45.0,120.0,225.0,468
402,25.0,45.0,120.0,1125.0,2940
403,22.0,45.0,120.0,990.0,2587
404,8.0,45.0,120.0,360.0,941
405,8.0,45.0,120.0,360.0,941
406,2.0,45.0,120.0,90.0,235
407,1.0,45.0,120.0,45.0,118
408,5.0,45.0,120.0,225.0,594
409,6.0,45.0,120.0,270.0,713
410,5.0,45.0,120.0,225.0,468
411,7.0,45.0,120.0,315.0,655
412,23.0,45.0,120.0,1035.0,2650
413,22.0,45.0,120.0,990.0,2534
414,4.0,45.0,120.0,180.0,461
415,1.0,45.0,120.0,45.0,115
416,2.0,45.0,120.0,90.0,223
417,1.0,45.0,120.0,45.0,112
418,1.0,45.0,120.0,45.0,115
419,1.0,45.0,120.0,45.0,115
420,9.0,45.0,120.0,405.0,1058
421,9.0,45.0,120.0,405.0,1058
422,8.0,45.0,120.0,360.0,941
423,6.0,45.0,120.0,270.0,706
424,7.0,45.0,120.0,315.0,832
425,6.0,45.0,120.0,270.0,713
426,22.0,45.0,120.0,990.0,2614
427,22.0,45.0,120.0,990.0,2614
428,7.0,45.0,120.0,315.0,840
429,5.0,45.0,120.0,225.0,600
430,6.0,45.0,120.0,270.0,691
431,4.0,45.0,120.0,180.0,461
432,9.0,45.0,120.0,405.0,853
433,10.0,45.0,120.0,450.0,948
434,19.0,45.0,120.0,855.0,2189
435,16.0,45.0,120.0,720.0,1843
436,17.0,45.0,120.0,765.0,1673
437,17.0,45.0,120.0,765.0,1673
438,2.0,45.0,120.0,90.0,235
439,3.0,45.0,120.0,135.0,353
440,6.0,45.0,120.0,270.0,691
441,7.0,45.0,120.0,315.0,806
442,23.0,45.0,120.0,1035.0,2650
443,24.0,45.0,120.0,1080.0,2765
444,4.0,45.0,120.0,180.0,365
445,2.0,45.0,120.0,90.0,182
446,10.0,45.0,120.0,450.0,1116
447,7.0,45.0,120.0,315.0,781
448,21.0,45.0,120.0,945.0,2066
449,22.0,45.0,120.0,990.0,2165
450,2.0,45.0,120.0,90.0,182
451,2.0,45.0,120.0,90.0,182
452,3.0,45.0,120.0,135.0,346
453,1.0,45.0,120.0,45.0,115
454,4.0,45.0,120.0,180.0,394
455,6.0,45.0,120.0,270.0,590
456,9.0,45.0,120.0,405.0,886
457,10.0,45.0,120.0,450.0,984
458,7.0,45.0,120.0,315.0,731
459,9.0,45.0,120.0,405.0,940
460,10.0,45.0,120.0,450.0,1044
461,12.0,45.0,120.0,540.0,1253
462,5.0,45.0,120.0,225.0,522
463,7.0,45.0,120.0,315.0,731
464,10.0,45.0,120.0,450.0,1188
465,9.0,45.0,120.0,405.0,1069
466,1.0,45.0,120.0,45.0,115
467,1.0,45.0,120.0,45.0,115
468,5.0,45.0,120.0,225.0,522
469,3.0,45.0,120.0,135.0,313
470,6.0,45.0,120.0,270.0,691
471,6.0,45.0,120.0,270.0,691
472,12.0,45.0,120.0,540.0,1138
473,13.0,45.0,120.0,585.0,1232
474,15.0,45.0,120.0,675.0,1764
475,16.0,45.0,120.0,720.0,1882
476,8.0,45.0,120.0,360.0,950
477,9.0,45.0,120.0,405.0,1069
478,19.0,45.0,120.0,855.0,1870
479,16.0,45.0,120.0,720.0,1574
480,5.0,45.0,120.0,225.0,594
481,6.0,45.0,120.0,270.0,713
482,7.0,45.0,120.0,315.0,689
483,9.0,45.0,120.0,405.0,886
484,8.0,45.0,120.0,360.0,787
485,5.0,45.0,120.0,225.0,492
486,7.0,45.0,120.0,315.0,638
487,4.0,45.0,120.0,180.0,365
488,6.0,45.0,120.0,270.0,713
489,6.0,45.0,120.0,270.0,713
490,7.0,45.0,120.0,315.0,655
491,6.0,45.0,120.0,270.0,562
492,15.0,45.0,120.0,675.0,1404
493,12.0,45.0,120.0,540.0,1123
494,5.0,45.0,120.0,225.0,594
495,2.0,45.0,120.0,90.0,238
496,6.0,45.0,120.0,270.0,713
497,5.0,45.0,120.0,225.0,594
498,7.0,45.0,120.0,315.0,806
499,7.0,45.0,120.0,315.0,806
500,3.0,45.0,120.0,135.0,295
501,3.0,45.0,120.0,135.0,295
502,5.0,45.0,120.0,225.0,594
503,7.0,45.0,120.0,315.0,832
504,3.0,45.0,120.0,135.0,284
505,1.0,45.0,120.0,45.0,95
506,8.0,45.0,120.0,360.0,941
507,9.0,45.0,120.0,405.0,1058
508,5.0,45.0,120.0,225.0,492
509,5.0,45.0,120.0,225.0,492
510,8.0,45.0,120.0,360.0,922
511,7.0,45.0,120.0,315.0,806
512,3.0,45.0,120.0,135.0,356
513,2.0,45.0,120.0,90.0,238
514,10.0,45.0,120.0,450.0,984
515,7.0,45.0,120.0,315.0,689
516,2.0,45.0,120.0,90.0,209
517,1.0,45.0,120.0,45.0,104
518,9.0,45.0,120.0,405.0,842
519,7.0,45.0,120.0,315.0,655
520,2.0,45.0,120.0,90.0,235
521,3.0,45.0,120.0,135.0,353
522,2.0,45.0,120.0,90.0,187
523,2.0,45.0,120.0,90.0,187
524,6.0,45.0,120.0,270.0,706
525,5.0,45.0,120.0,225.0,588
526,3.0,45.0,120.0,135.0,353
527,4.0,45.0,120.0,180.0,470
528,2.0,45.0,120.0,90.0,235
529,1.0,45.0,120.0,45.0,118
530,4.0,45.0,120.0,180.0,470
531,1.0,45.0,120.0,45.0,118
532,22.0,45.0,120.0,990.0,2614
533,20.0,45.0,120.0,900.0,2376
534,13.0,45.0,120.0,585.0,1217
535,13.0,45.0,120.0,585.0,1217
536,6.0,45.0,120.0,270.0,619
537,6.0,45.0,120.0,270.0,619
538,6.0,45.0,120.0,270.0,619
539,6.0,45.0,120.0,270.0,619
540,2.0,45.0,120.0,90.0,230
541,1.0,45.0,120.0,45.0,115
542,5.0,45.0,120.0,225.0,576
543,6.0,45.0,120.0,270.0,691
544,4.0,45.0,120.0,180.0,461
545,1.0,45.0,120.0,45.0,115
546,9.0,45.0,120.0,405.0,1037
547,9.0,45.0,120.0,405.0,1037
548,6.0,45.0,120.0,270.0,691
549,6.0,45.0,120.0,270.0,691
550,7.0,45.0,120.0,315.0,731
551,7.0,45.0,120.0,315.0,731
552,2.0,45.0,120.0,90.0,197
553,1.0,45.0,120.0,45.0,98
554,7.0,45.0,120.0,315.0,806
555,9.0,45.0,120.0,405.0,1037
556,8.0,45.0,120.0,360.0,758
557,7.0,45.0,120.0,315.0,664
558,1.0,45.0,120.0,45.0,103
559,2.0,45.0,120.0,90.0,206
560,3.0,45.0,120.0,135.0,353
561,5.0,45.0,120.0,225.0,588
562,7.0,45.0,120.0,315.0,655
563,6.0,45.0,120.0,270.0,562
564,7.0,45.0,120.0,315.0,823
565,5.0,45.0,120.0,225.0,588
566,6.0,45.0,120.0,270.0,706
567,8.0,45.0,120.0,360.0,941
568,10.0,45.0,120.0,450.0,936
569,7.0,45.0,120.0,315.0,655
570,27.0,45.0,120.0,1215.0,2527
571,26.0,45.0,120.0,1170.0,2434
572,4.0,45.0,120.0,180.0,470
573,5.0,45.0,120.0,225.0,588
574,6.0,45.0,120.0,270.0,619
575,8.0,45.0,120.0,360.0,826
576,19.0,45.0,120.0,855.0,1961
577,18.0,45.0,120.0,810.0,1858
578,6.0,45.0,120.0,270.0,706
579,6.0,45.0,120.0,270.0,706
580,2.0,45.0,120.0,90.0,235
581,1.0,45.0,120.0,45.0,118
582,3.0,45.0,120.0,135.0,353
583,4.0,45.0,120.0,180.0,470
584,5.0,45.0,120.0,225.0,588
585,3.0,45.0,120.0,135.0,353
586,9.0,45.0,120.0,405.0,929
587,7.0,45.0,120.0,315.0,722
588,4.0,45.0,120.0,180.0,413
589,2.0,45.0,120.0,90.0,206
590,4.0,45.0,120.0,180.0,418
591,4.0,45.0,120.0,180.0,418
592,4.0,45.0,120.0,180.0,470
593,3.0,45.0,120.0,135.0,353
594,3.0,45.0,120.0,135.0,353
595,2.0,45.0,120.0,90.0,235
596,10.0,59.0,159.0,590.0,1558
597,8.0,59.0,159.0,472.0,1247
598,7.0,59.0,159.0,413.0,1091
599,9.0,59.0,159.0,531.0,1402
600,6.0,59.0,159.0,354.0,935
601,7.0,59.0,159.0,413.0,1091
602,4.0,59.0,159.0,236.0,534
603,2.0,59.0,159.0,118.0,267
604,1.0,59.0,159.0,59.0,157
605,1.0,59.0,159.0,59.0,157
606,6.0,59.0,159.0,354.0,744
607,3.0,59.0,159.0,177.0,372
608,5.0,59.0,159.0,295.0,787
609,7.0,59.0,159.0,413.0,1102
610,9.0,59.0,159.0,531.0,1417
611,9.0,59.0,159.0,531.0,1417
612,1.0,59.0,159.0,59.0,157
613,2.0,59.0,159.0,118.0,315
614,5.0,59.0,159.0,295.0,787
615,5.0,59.0,159.0,295.0,787
616,6.0,59.0,159.0,354.0,916
617,5.0,59.0,159.0,295.0,763
618,10.0,59.0,159.0,590.0,1558
619,11.0,59.0,159.0,649.0,1714
620,8.0,59.0,159.0,472.0,1259
621,5.0,59.0,159.0,295.0,787
622,3.0,59.0,159.0,177.0,467
623,5.0,59.0,159.0,295.0,779
624,5.0,59.0,159.0,295.0,763
625,4.0,59.0,159.0,236.0,611
626,10.0,59.0,159.0,590.0,1558
627,9.0,59.0,159.0,531.0,1402
628,5.0,59.0,159.0,295.0,628
629,2.0,59.0,159.0,118.0,251
630,4.0,59.0,159.0,236.0,560
631,4.0,59.0,159.0,236.0,560
632,6.0,59.0,159.0,354.0,944
633,8.0,59.0,159.0,472.0,1259
634,10.0,59.0,159.0,590.0,1574
635,11.0,59.0,159.0,649.0,1732
636,2.0,59.0,159.0,118.0,312
637,1.0,59.0,159.0,59.0,156
638,6.0,59.0,159.0,354.0,935
639,4.0,59.0,159.0,236.0,623
640,9.0,59.0,159.0,531.0,1202
641,10.0,59.0,159.0,590.0,1336
642,7.0,59.0,159.0,413.0,935
643,6.0,59.0,159.0,354.0,801
644,1.0,59.0,159.0,59.0,134
645,1.0,59.0,159.0,59.0,134
646,8.0,59.0,159.0,472.0,1247
647,5.0,59.0,159.0,295.0,779
648,4.0,59.0,159.0,236.0,623
649,4.0,59.0,159.0,236.0,623
650,1.0,59.0,159.0,59.0,157
651,1.0,59.0,159.0,59.0,157
652,1.0,59.0,159.0,59.0,157
653,1.0,59.0,159.0,59.0,157
654,3.0,59.0,159.0,177.0,467
655,4.0,59.0,159.0,236.0,623
656,2.0,59.0,159.0,118.0,248
657,4.0,59.0,159.0,236.0,496
658,2.0,59.0,159.0,118.0,251
659,1.0,59.0,159.0,59.0,126
660,10.0,59.0,159.0,590.0,1240
661,9.0,59.0,159.0,531.0,1116
662,8.0,59.0,159.0,472.0,1221
663,6.0,59.0,159.0,354.0,916
664,4.0,59.0,159.0,236.0,553
665,1.0,59.0,159.0,59.0,138
666,1.0,59.0,159.0,59.0,134
667,1.0,59.0,159.0,59.0,134
668,4.0,59.0,159.0,236.0,611
669,3.0,59.0,159.0,177.0,458
670,9.0,59.0,159.0,531.0,1374
671,10.0,59.0,159.0,590.0,1526
672,9.0,59.0,159.0,531.0,1116
673,9.0,59.0,159.0,531.0,1116
674,1.0,59.0,159.0,59.0,138
675,3.0,59.0,159.0,177.0,415
676,1.0,59.0,159.0,59.0,138
677,1.0,59.0,159.0,59.0,138
678,5.0,59.0,159.0,295.0,692
679,2.0,59.0,159.0,118.0,277
680,10.0,59.0,159.0,590.0,1304
681,10.0,59.0,159.0,590.0,1304
682,9.0,59.0,159.0,531.0,1202
683,10.0,59.0,159.0,590.0,1336
684,8.0,59.0,159.0,472.0,1107
